grad_gpa
2.885
3.718
3.81
3.483
3.133
3.698
3.83
3.312
3.821
3.53
3.6
3.481
3.458
2.757
3.402
3.441
3.809
3.5
2.72
3.256
3.761
3.448
3.219
3.678
3.827
3.301
3.291
3.648
3.47
3.415
3.332
3.536
3.686
3.599
3.376
3.399
3.499
3.615
3.711
2.98
3.815
2.906
3.033
3.449
3.441
3.449
3.193
3.704
3.677
3.824
3.301
3.436
3.613
3.806
3.085
3.768
3.81
2.395
3.766
3.66
3.678
2.85
3.605
3.294
3.342
3.481
3.374
3.703
3.476
3.68
3.559
3.412
3.332
3.878
2.566
3.529
3.403
3.501
3.526
2.923
3.532
3.243
3.733
3.701
3.555
3.623
3.586
3.51
3.211
3.81
3.17
3.461
2.607
3.611
3.045
2.92
3.824
3.51
3.201
2.972
