ID,Rural,Income,Race,Expenditure,Kids
1000177,0,62020,1,12965.7001,1
1000178,0,9458,2,2014,0
1000179,0,97040,1,39873,0
1000180,0,90000,1,19246.25,0
1000181,0,31700,1,6212.2,0
1000182,0,49000,1,16127.4501,0
1000183,0,30000,1,7517.75,0
1000184,0,128305,1,47609.4952,0
1000185,0,345084,1,22825.2832,0
1000186,0,49462,1,5734.5,0
1000187,0,156000,1,28358.2832,3
1000188,0,50000,1,13672.25,0
1000189,0,2270,1,9871,0
1000190,0,230000,1,64107.783,0
1000191,0,13800,1,6116.5,2
1000192,0,60000,1,10129.5,0
1000193,0,123253,1,23732.5,0
1000194,0,110000,1,12529.75,0
1000195,0,15210,1,3786,0
1000196,0,41906,1,7869,0
1000197,0,214474,1,19507.7499,0
1000198,0,39372,1,13374,0
1000199,0,87000,1,15303.7499,0
1000200,1,123600,1,26482.7501,2
1000201,0,28700,1,8070.7501,1
1000202,0,63000,1,12963.0001,0
1000203,0,203000,1,20403.7499,0
1000204,0,14822,1,4123,0
1000205,0,37626,1,4615.5,0
1000206,1,20786,1,9167,0
1000207,0,13578,1,10611,0
1000208,0,34000,1,8606.8499,0
1000209,0,172000,4,26464.5001,1
1000210,0,42200,1,7230.15,1
1000211,0,78600,1,14732.2499,1
1000212,0,95000,1,10337.7501,0
1000213,0,9805,1,10868.1499,6
1000214,0,14412,6,6278,0
1000215,0,18000,1,6351.25,4
1000216,0,215000,1,22792,0
1000217,0,65000,1,41248.2501,1
1000218,0,29000,1,6149,0
1000219,0,413084,1,18613.2501,2
1000220,0,70000,1,17593.6,0
1000221,0,50000,1,8414.4999,0
1000222,0,21000,1,5324.7501,0
1000223,1,54626,1,8262,0
1000224,0,140750,2,25460.7833,2
1000225,0,25633,2,7903.0001,0
1000226,0,143514,1,32378.5,1
1000227,0,31000,4,13909.9499,3
1000228,0,63000,1,10145.5999,2
1000229,0,12288,1,8743.95,3
1000230,0,33107,1,4750.5001,0
1000231,0,20000,2,2381.5,0
1000232,0,16280,1,6451.25,0
1000233,0,87000,1,18293.0502,0
1000234,0,36552,1,11685.0001,0
1000235,0,45328,4,9927.5001,0
1000236,0,48000,1,9794.95,5
1000237,0,13107,1,3970,0
1000238,1,38556,1,2463.7001,1
1000239,0,76400,1,25524.75,0
1000240,0,24278,1,9691,0
1000241,0,107200,1,13429.75,1
1000242,0,24000,4,8614.7,0
1000243,0,100000,1,16354.5001,0
1000244,0,45600,1,6373.6499,0
1000245,0,384334,1,29084.5664,0
1000246,0,40050,1,7249,0
1000247,0,7200,1,1495.7501,0
1000248,0,51000,1,5139.5001,0
1000249,0,17958,1,2587,0
1000250,0,92000,1,14892.5,0
1000251,0,343084,1,20541.5001,0
1000252,0,50826,1,10384,0
1000253,0,19156,1,9637.1501,0
1000254,0,27300,1,28510.2832,0
1000255,0,57035,1,12879.2501,0
1000256,0,35400,1,12864.2001,0
1000257,0,110812,1,13921,0
1000258,0,131433,1,11175,0
1000259,0,42126,1,26240.5001,0
1000260,0,2200,1,4840,0
1000261,0,12000,1,4101.7999,0
1000262,0,107340,1,12196,0
1000263,0,32000,1,7965,0
1000264,0,18612,1,6574,0
1000265,0,11100,3,4354.2499,4
1000266,0,72000,4,18453,2
1000267,0,25607,1,5605.2501,0
1000268,0,44140,1,11984,0
1000269,0,37676,1,18963.2501,0
1000270,0,10614,2,2867,0
1000271,0,95000,1,8940.0001,0
1000272,0,1626,1,12632,0
1000273,0,28000,2,7769.5,1
1000274,1,40550,1,4375.5999,2
1000275,0,23736,1,4583.9999,0
1000276,0,110200,1,24350.7501,0
1000277,0,84000,1,15602.6001,2
1000278,0,55000,2,10699.0001,1
1000279,0,343084,1,35021.5332,0
1000280,0,165640,1,34487.2501,1
1000281,0,49452,1,17404,0
1000282,0,92000,1,34921.5001,0
1000283,0,343329,1,44254.5,1
1000284,0,176960,2,29547.0001,1
1000285,0,46000,1,10147.75,0
1000286,0,27402,4,12592.0501,1
1000287,0,13235,1,9220.7499,0
1000288,0,150000,1,38015.75,2
1000289,0,100,1,3578.0001,0
1000290,0,52240,1,8513.1,3
1000291,0,100000,1,27661.1999,0
1000292,0,160000,6,20197.5664,0
1000293,1,43000,1,9642.1,0
1000294,0,17400,1,8815.7501,0
1000295,0,143648,1,20519.5003,0
